"@timestamp","agent.name","event.code","process.name","process.executable","network.protocol","network.transport","source.ip","destination.ip"
"Jun 10, 2025 @ 10:45:38.736","DESKTOP-NIU0UCP",5,"backgroundTaskHost.exe","C:\Windows\System32\backgroundTaskHost.exe","-","-","-","-"
"Jun 10, 2025 @ 10:45:38.709","DESKTOP-NIU0UCP","-","-","-",tls,tcp,"192.168.4.100","40.126.17.134"
"Jun 10, 2025 @ 10:45:38.606","DESKTOP-NIU0UCP","-","-","-",dns,udp,"192.168.4.100","8.8.8.8"
"Jun 10, 2025 @ 10:45:38.524","DESKTOP-NIU0UCP","-","-","-",dns,udp,"192.168.4.100","8.8.8.8"
"Jun 10, 2025 @ 10:45:38.500","DESKTOP-NIU0UCP","-","-","-",tls,tcp,"192.168.4.100","18.239.153.11"
"Jun 10, 2025 @ 10:45:38.099","DESKTOP-NIU0UCP",1,"RuntimeBroker.exe","C:\Windows\System32\RuntimeBroker.exe","-","-","-","-"
"Jun 10, 2025 @ 10:45:37.844","DESKTOP-NIU0UCP",1,"dllhost.exe","C:\Windows\System32\dllhost.exe","-","-","-","-"
"Jun 10, 2025 @ 10:45:37.834","DESKTOP-NIU0UCP",5379,"-","-","-","-","-","-"
"Jun 10, 2025 @ 10:45:37.833","DESKTOP-NIU0UCP",5379,"-","-","-","-","-","-"
"Jun 10, 2025 @ 10:45:37.833","DESKTOP-NIU0UCP",5379,"-","-","-","-","-","-"
"Jun 10, 2025 @ 10:45:37.813","DESKTOP-NIU0UCP",5379,"-","-","-","-","-","-"
"Jun 10, 2025 @ 10:45:37.813","DESKTOP-NIU0UCP",5379,"-","-","-","-","-","-"
"Jun 10, 2025 @ 10:45:37.812","DESKTOP-NIU0UCP",5379,"-","-","-","-","-","-"
"Jun 10, 2025 @ 10:45:37.807","DESKTOP-NIU0UCP",5379,"-","-","-","-","-","-"
"Jun 10, 2025 @ 10:45:37.807","DESKTOP-NIU0UCP",5379,"-","-","-","-","-","-"
"Jun 10, 2025 @ 10:45:37.807","DESKTOP-NIU0UCP",5379,"-","-","-","-","-","-"
"Jun 10, 2025 @ 10:45:37.770","DESKTOP-NIU0UCP",4798,"-","-","-","-","-","-"
"Jun 10, 2025 @ 10:45:37.680","DESKTOP-NIU0UCP",1,"TiWorker.exe","C:\Windows\WinSxS\amd64_microsoft-windows-servicingstack_31bf3856ad364e35_10.0.19041.5853_none_7de3a0ec7cad0695\TiWorker.exe","-","-","-","-"
"Jun 10, 2025 @ 10:45:37.674","DESKTOP-NIU0UCP",1,"svchost.exe","C:\Windows\System32\svchost.exe","-","-","-","-"
"Jun 10, 2025 @ 10:45:37.673","DESKTOP-NIU0UCP",4624,"services.exe","C:\Windows\System32\services.exe","-","-","-","-"
"Jun 10, 2025 @ 10:45:37.673","DESKTOP-NIU0UCP",4672,"-","-","-","-","-","-"
"Jun 10, 2025 @ 10:45:37.598","DESKTOP-NIU0UCP",1,"svchost.exe","C:\Windows\System32\svchost.exe","-","-","-","-"
"Jun 10, 2025 @ 10:45:37.463","DESKTOP-NIU0UCP",1,"backgroundTaskHost.exe","C:\Windows\System32\backgroundTaskHost.exe","-","-","-","-"
"Jun 10, 2025 @ 10:45:36.721","DESKTOP-NIU0UCP",1,"explorer.exe","C:\Windows\explorer.exe","-","-","-","-"
"Jun 10, 2025 @ 10:45:36.686","DESKTOP-NIU0UCP",1,"userinit.exe","C:\Windows\System32\userinit.exe","-","-","-","-"
"Jun 10, 2025 @ 10:45:36.643","DESKTOP-NIU0UCP",5061,"-","-","-","-","-","-"
"Jun 10, 2025 @ 10:45:36.643","DESKTOP-NIU0UCP",5059,"-","-","-","-","-","-"
